,APC,FTI,HPQ,SANM,SIG,TEX,TIF,TJX
0,0.045814623648619886,0.04581462364861988,0.045814623648619886,0.045814623648619886,0.04581462364861988,0.045814623648619886,0.045814623648619886,0.04581462364861989
1,0.028975362753423037,0.028975362753423033,0.028975362753423037,0.028975362753423033,0.028975362753423037,0.02897536275342304,0.02897536275342303,0.02897536275342304
2,0.048064301867580386,0.04806430186758038,0.04806430186758038,0.048064301867580386,0.04806430186758038,0.04806430186758038,0.04806430186758038,0.048064301867580386
3,0.017941322404416052,0.017941322404416052,0.01794132240441605,0.017941322404416052,0.01794132240441605,0.017941322404416052,0.01794132240441605,0.017941322404416055
4,0.031845117508988614,0.031845117508988614,0.031845117508988614,0.031845117508988614,0.031845117508988614,0.031845117508988614,0.031845117508988614,0.031845117508988614
5,0.03799344048212711,0.03799344048212711,0.03799344048212711,0.03799344048212711,0.03799344048212711,0.03799344048212711,0.03799344048212711,0.03799344048212711
6,0.019831033107616226,0.019831033107616226,0.019831033107616223,0.01983103310761623,0.019831033107616226,0.01983103310761623,0.01983103310761623,0.019831033107616223
7,0.009976176573736327,0.00997617657373633,0.009976176573736326,0.009976176573736327,0.00997617657373633,0.009976176573736326,0.009976176573736329,0.00997617657373634
8,0.02513027417705199,0.025130274177051992,0.02513027417705199,0.02513027417705199,0.02513027417705199,0.02513027417705199,0.02513027417705199,0.02513027417705199
9,0.03486226906739029,0.034862269067390296,0.034862269067390296,0.034862269067390296,0.03486226906739029,0.034862269067390296,0.03486226906739029,0.034862269067390296
10,0.12018309145769686,0.12018309145769686,0.12018309145769686,0.12018309145769686,0.12018309145769686,0.12018309145769686,0.12018309145769686,0.12018309145769686
11,0.042725118356025556,0.042725118356025556,0.042725118356025556,0.042725118356025556,0.042725118356025556,0.042725118356025556,0.042725118356025556,0.042725118356025556
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.04279868598521483,0.04279868598521483,0.042798685985214836,0.04279868598521483,0.04279868598521483,0.042798685985214836,0.04279868598521482,0.04279868598521483
14,0.03024609439232513,0.03024609439232513,0.03024609439232513,0.03024609439232513,0.03024609439232513,0.03024609439232513,0.03024609439232513,0.030246094392325132
15,0.033312733028954045,0.03331273302895404,0.033312733028954045,0.03331273302895404,0.03331273302895404,0.033312733028954045,0.03331273302895404,0.03331273302895404
16,0.01778564718067457,0.01778564718067457,0.017785647180674567,0.017785647180674564,0.01778564718067457,0.01778564718067457,0.01778564718067457,0.01778564718067457
17,0.029209156777681464,0.029209156777681457,0.02920915677768146,0.02920915677768146,0.02920915677768146,0.029209156777681464,0.029209156777681457,0.029209156777681468
18,0.028261907958073228,0.02826190795807322,0.028261907958073228,0.028261907958073224,0.028261907958073224,0.028261907958073228,0.028261907958073228,0.02826190795807323
19,0.030484155461793797,0.030484155461793786,0.030484155461793797,0.030484155461793797,0.030484155461793797,0.030484155461793797,0.03048415546179379,0.03048415546179379
20,0.03175591878186088,0.031755918781860876,0.03175591878186088,0.03175591878186088,0.031755918781860876,0.03175591878186088,0.031755918781860876,0.03175591878186088
21,0.03409310408151695,0.03409310408151696,0.03409310408151696,0.03409310408151696,0.03409310408151695,0.03409310408151696,0.03409310408151695,0.03409310408151696
22,0.038194034314761385,0.03819403431476138,0.038194034314761385,0.03819403431476138,0.03819403431476138,0.038194034314761385,0.038194034314761385,0.03819403431476138
23,0.034134306128304336,0.03413430612830433,0.034134306128304336,0.034134306128304336,0.03413430612830433,0.034134306128304336,0.03413430612830432,0.03413430612830433
24,0.0322730021147708,0.032273002114770806,0.032273002114770806,0.0322730021147708,0.03227300211477079,0.032273002114770806,0.0322730021147708,0.0322730021147708
25,0.0390809498395025,0.03908094983950249,0.0390809498395025,0.0390809498395025,0.03908094983950249,0.0390809498395025,0.03908094983950249,0.0390809498395025
26,0.027521389941306068,0.027521389941306065,0.027521389941306065,0.027521389941306065,0.027521389941306065,0.027521389941306065,0.027521389941306068,0.027521389941306065
27,0.0416274480091393,0.04162744800913929,0.0416274480091393,0.0416274480091393,0.04162744800913929,0.04162744800913929,0.0416274480091393,0.041627448009139305
28,0.021167728937963332,0.02116772893796333,0.02116772893796333,0.02116772893796333,0.02116772893796333,0.02116772893796333,0.021167728937963332,0.021167728937963336
29,0.02471160566148494,0.024711605661484937,0.024711605661484937,0.024711605661484937,0.024711605661484937,0.024711605661484937,0.024711605661484937,0.024711605661484944
